*HD111721h
*
*  Heap STIS not version 2
set .z.units = "Ergs/s/cm**2/A"
set .z.label = "Flux"
set .table.bandwidth = 2.74
*
     5224.20    2.34204E-12
     5226.94    2.26340E-12
     5229.68    2.29681E-12
     5232.42    2.34903E-12
     5235.16    2.35956E-12
     5237.90    2.40127E-12
     5240.64    2.41524E-12
     5243.38    2.41293E-12
     5246.12    2.40393E-12
     5248.86    2.35810E-12
     5251.60    2.35200E-12
     5254.34    2.38054E-12
     5257.08    2.40455E-12
     5259.82    2.38716E-12
     5262.56    2.27251E-12
     5265.30    2.21362E-12
     5268.04    2.21131E-12
     5270.78    2.22536E-12
     5273.52    2.29564E-12
     5276.26    2.36041E-12
     5279.00    2.40221E-12
     5281.74    2.37072E-12
     5284.48    2.37782E-12
     5287.22    2.43615E-12
     5289.96    2.45511E-12
     5292.70    2.44027E-12
     5295.44    2.39993E-12
     5298.18    2.36580E-12
     5300.92    2.38338E-12
     5303.66    2.41039E-12
     5306.40    2.42913E-12
     5309.14    2.45105E-12
     5311.88    2.46014E-12
     5314.62    2.42762E-12
     5317.36    2.38634E-12
     5320.10    2.38978E-12
     5322.84    2.37957E-12
     5325.58    2.31704E-12
     5328.32    2.27908E-12
     5331.06    2.32957E-12
     5333.80    2.38716E-12
     5336.54    2.39128E-12
     5339.28    2.36393E-12
     5342.02    2.36294E-12
     5344.76    2.39386E-12
     5347.50    2.37801E-12
     5350.24    2.38501E-12
     5352.98    2.41207E-12
     5355.72    2.43932E-12
     5358.46    2.44773E-12
     5361.20    2.41813E-12
     5363.94    2.38249E-12
     5366.68    2.35414E-12
     5369.42    2.32675E-12
     5372.16    2.35078E-12
     5374.90    2.41746E-12
     5377.64    2.43335E-12
     5380.38    2.39716E-12
     5383.12    2.39385E-12
     5385.86    2.41594E-12
     5388.60    2.40627E-12
     5391.34    2.38503E-12
     5394.08    2.36605E-12
     5396.82    2.33801E-12
     5399.56    2.31373E-12
     5402.30    2.31498E-12
     5405.04    2.31972E-12
     5407.78    2.31706E-12
     5410.52    2.34840E-12
     5413.26    2.37641E-12
     5416.00    2.38395E-12
     5418.74    2.39974E-12
     5421.48    2.39615E-12
     5424.22    2.38629E-12
     5426.96    2.37309E-12
     5429.70    2.34335E-12
     5432.44    2.33127E-12
     5435.18    2.35873E-12
     5437.92    2.40410E-12
     5440.66    2.41899E-12
     5443.40    2.37327E-12
     5446.14    2.32632E-12
     5448.88    2.36717E-12
     5451.62    2.42270E-12
     5454.36    2.37769E-12
     5457.10    2.34889E-12
     5459.84    2.40485E-12
     5462.58    2.39174E-12
     5465.32    2.39708E-12
     5468.06    2.41560E-12
     5470.80    2.42640E-12
     5473.54    2.38225E-12
     5476.28    2.34528E-12
     5479.02    2.36215E-12
     5481.76    2.38441E-12
     5484.50    2.39958E-12
     5487.24    2.41135E-12
     5489.98    2.40567E-12
     5492.72    2.40569E-12
     5495.46    2.40348E-12
     5498.20    2.38947E-12
     5500.94    2.39052E-12
     5503.68    2.38998E-12
     5506.42    2.38658E-12
     5509.16    2.38294E-12
     5511.90    2.39616E-12
     5514.64    2.40698E-12
     5517.38    2.41478E-12
     5520.12    2.41338E-12
     5522.86    2.40419E-12
     5525.60    2.38184E-12
     5528.34    2.35859E-12
     5531.08    2.37999E-12
     5533.82    2.40477E-12
     5536.56    2.41290E-12
     5539.30    2.43231E-12
     5542.04    2.43540E-12
     5544.78    2.41805E-12
     5547.52    2.43518E-12
     5550.26    2.43014E-12
     5553.00    2.41902E-12
     5555.74    2.41773E-12
     5558.48    2.41904E-12
     5561.22    2.41518E-12
     5563.96    2.40634E-12
     5566.70    2.38537E-12
     5569.44    2.38376E-12
     5572.18    2.38647E-12
     5574.92    2.38537E-12
     5577.66    2.39319E-12
     5580.40    2.39541E-12
     5583.14    2.37228E-12
     5585.88    2.34817E-12
     5588.62    2.32753E-12
     5591.36    2.33659E-12
     5594.10    2.35778E-12
     5596.84    2.37796E-12
     5599.58    2.38706E-12
     5602.32    2.34760E-12
     5605.06    2.38260E-12
     5607.80    2.42178E-12
     5610.54    2.41989E-12
     5613.28    2.39962E-12
